box,id_letter,artist,name,notes
2,א,מרגלית אנקורי ,היו ימים,
2,א,אתי אנקרי ,רואה לך בעיניים,
2,א,אנרגיה חולנית,,
2,א,ספיחס אסקימו לימון,4,
2,א,אסקימו לימון ,,
2,א,אסקימו לימון שיפשוף נעים,3,
2,א,אסקימו לימון יוצאים קבוע,,
2,א,אסקימו לימון באנגלית,,
2,א,16 להיטים מהסרט אסקימו לימון שירים מקוריים,,
2,א,אף אוזן גרון שמש אחת,,
2,א,אפור גשום תנשמת,,
2,א,אפור גשום שעון החול,,
2,א,אפור גשום מקום אחר,,
2,א,קורין אלאל ,אצבעות שמחות,
2,א,נועם אקוטונס ,זר דפנה לנצח,
2,א,אקסודוס,,
2,א,עופר אקרלינג ,לא רוצה לזמביה,
2,א,עופר אקרלינג ,ילדי טלויזיה,
2,א,גרי אקשטיין ,מחזור א',
2,א,ג'רי אקשטיין ,לא לשידור,
2,א,גרי אקשטיין, עבודת יד,
2,א,גרי אקשטיין ,גדליהו והמסטוק מספר החתול שמיל,
2,א,יורם ארבל ,(בקופסא תקליט יקר),
2,א,יורם ארבל ,מספר הבית ברחוב פיציקטו,
2,א,4 קולות,,
2,א,14 האוקטבות,,
2,א,14 אוקטבות מהדורה חדשה,,
2,א,44 שעות בירושלים ביקור הנשיא סעדת בעברית,,
2,א,44 שעות בירושלים ביקור הנשיא סעדת אנגלית ,,
2,א,שיר אהבה חיילי לסאשה ארגוב,,
2,א,שרון ארון שירים ישראליים,,
3,א,זוהר ארגוב ,חייו ומותו של המלך מארז 17 דיסקים,
3,א,זוהר ארגוב ,כך עוברים חיי,
3,א,זוהר ארגוב ,להיות אדם,
3,א,זוהר ארגוב ,היו זמנים,
3,א,זוהר ארגוב ,אמריקה שלי,
3,א,זוהר ארגוב ,אלינור,
3,א,זוהר ארגוב ,נכון להיום,
3,א,זוהר ארגוב ,נכון להיום מהדורה מקורית ,
3,א,זוהר ארגוב ,אלינור מהדורה חדשה,
3,א,סשה ארגוב עדנה גורן וקובי רכט,,
3,א,נגה ארז ,OF THE REDAR,
3,א,נגה ארז ,AGAINST THE MACHIN,
3,א,ראובן ארז ,דחף פנימי,
3,א,ראובן ארז ,נער הלילה,
3,א,ארז פרופר, ליידי,
3,א, ירדנה ארזי ,אתה לי ארץ,
3,א,ירדנה ארזי ,דרישת שלום,
3,א,ירדנה ארזי ,עוד יום אחד,
3,א,ירדנה ארזי ,נשמה צענית,
3,א,ירדנה ארזי ,ריח דבש וריח מנטה,
3,א,ירדנה ארזי ,מה נשמע,
3,א,ירדנה ארזי ,,
3,א,ירדנה ארזי ,דמיון מזרחי,
3,א,ירדנה ארזי, רמיקס,
3,א,מאיר אריאל ,שירי חג ומועד ונופל,
3,א,מאיר אריאל, וגלוי עיניים,
3,א,מאיר אריאל, ירוקות,
3,א,מאיר אריאל ,עברנו את פרעה,
3,א,מאיר אריאל ,וגלוי עיניים מהדורה חדשה,
3,א,מאיר אריאל ,רישומי פחם,
3,א,מאיר אריאל ,ירוקות מהדורה חדשה,
3,א,מאיר אריאל ,שיר הקומבינה ,
3,א,מאיר אריאל ,מדרש יונתי,
3,א,להקת האריות ,תותי פרוטי,
3,א,להקת האריות ,עם מירי וחיימון לילה ויום,
3,א, להקת האריות ,הו דרלינג,
3,א,להקת האריות ,כמו שאהבנו,
3,א,להקת האריות ,טלוויזיה,
3,א,ארמון ,,
3,א,מ. ארייניס,,
3,א,דפנה ארמוני,,
3,א,דפנה ארמוני ,סיפור בג'ינס,
3,א,יהודה ארן ,קולות ודמויות,
3,א,לוסי ארנון,,
3,א,זמרה אורנת שירים ישאליים,,
3,א,ארץ טרופית יפה,,
3,א,ארץ ישראל שלי מיטב שירי ארץ ישראל לילדים,,
3,א,שלמה ארצי ושלום חנוך ,דיסק,
3,א,שלמה ארצי ,טיול לארץ התווים,
3,א,שלמה ארצי ,חצות,
3,א,שלמה ארצי ,מקום,
3,א,שלמה ארצי ,לילה לא שקט,
3,א,שלמה ארצי, דרכים,
3,א,שלמה ארצי ,תרקוד,
3,א,שלמה ארצי ,השירים,
3,א,שלמה ארצי ,השירים היפים,
3,א,שלמה ארצי ,שר ומספר לילדים על יאן הגמד,
3,א,שלמה ארצי ,השירים 2,
3,א,שלמה ארצי ,חום יולי אוגוסט,
3,א,שלמה ארצי ,חום יולי אוגוסט 2,
3,א, שלמה ארצי, זמר השנה,
3,א,שלמה ארצי ,על אנשים,
3,א,שלמה ארצי ,לכל החברים מהמסע מים אל ים,
3,א,שלמה ארצי ואצ'ו,,
3,א,שלמה ארצי, כרטיס ללונה פארק,
3,א,שלמה ארצי ,כרטיס ללונה פארק,
3,א,שלמה ארצי ,רומנסה ופיוט,
3,א,שלמה ארצי ,אומרים ישנה ארץ,
3,א,שלמה ארצי ,את ואני,
3,א,שלמה ארצי ,פתאום אחרי ימים רבים,
3,א,שלמה ארצי ,תעודת זהות,
3,א,שלמה ארצי ,תעודת זהות,
3,א, שלמה ארצי ,משחקי 26,
3,א, שלמה ארצי ,טיול לארץ התווים,
3,א,שלמה ארצי ,טיול לארץ התווים,
3,א,שלמה ארצי, סייסטה מקומית,
3,א,שלמה ארצי ,אחרי שנואבה נגמרה,
3,א,שלמה ארצי ,ירח מהדורה חדשה,
3,א,שלמה ארצי, שניים,
3,א,שלמה ארצי ,לייב בארבי,
4,א,שלמה ארצי ומאיר שלו ,סיפורי התנך לילדים,
4,א,שלמה ארצי ומאיר שלו ,סיפורי התנך לילדים ב,
4,א,שלמה ארצי ומאיר שלו ,סיפורי התנך לילדים ג,
4,א,שלמה ארצי ,שר ומספר לילדים על יאן הגמד,
4,א,שלמה ארצי ,אהבתיהם,
4,א,שלמה ארצי ,יום ארוך דיג'י,
4,א, שלמה ארצי ,אושר אקספרס,
4,א,שלמה ארצי ,רומנסייה ופיוט,
4,א,שלמה ארצי ,ואצ'י מהדורה חדשה,
4,א,ארצנו הרוקדת משה אושרוביץ ולהקתו,,
4,א,אילן אשד ,לשיר בחצוצרה,
4,א,יזהר אשדות ,הופעה חיה בהארד רוק קפה,
4,א,יזהר אשדות, האלבום השני,
4,א,האשקולית של בית השיטה,,
4,א,אשרי האיש חבורת שירלי,,
4,א,יהודה אשש,,
4,א,רוני אשתר, זה הזמן,
4,א,את תלכי בשדה שירי לאה גולדברג,,
4,א,אתניקס ,האוסף ספר,
4,א,אתניקס,,
4,א,אתניקס ,מסאלה,
4,א,אתניקס ,היי דרומה דיג'י,
4,ב,באה התזמורת שירי תזמורת וכלי הקשה לילדים,,
4,ב,הדסה באו ,למרות הקול הכל בסדר,
4,ב,יאיר באני ,ברוח הזמן,
4,ב,באמת או בצחוק מתוך ההצגה,,
4,ב,בבהילו יצאנו מצרים סדר פסח של יהודי מרוקו,,
4,ב,תזמורת כלי פריטה בנגב באר שבע קונסרבטוריום העירוני,,
4,ב,תזמורת הנוער העירוני באר שבע,,
4,ב,אלברט בגר ,קברטט,
4,ב,בגובה העיניים יוני רכטר עלי מוהר,,
4,ב,מנחם בגין, דיוקן,
4,ב,מני בגר ,רוק תל אביב,
4,ב,מני בגר ,הייתי בגן עדן,
4,ב,מני בגר ,חייל של יום אחד,
4,ב,מני בגר יצחק קלפטר דואט שלי עם יצחק,,
4,ב,בדומיה שירי יהדות ברית המועצות ואסירי ציון,,
4,ב,שרה בדני,,
4,ב,בדל של אור ברי סחרוף דודו טסה,,
4,ב,בדרך לארוויזיון,,
4,ב,בדרך מערבה,,
4,ב,רוברט יוסף בכר,,
4,ב,בוא איתי אל הגליל,,
4,ב,בוא לבר בונג רוק,,
4,ב,בוא לבר החבר שלי חשושי ,,
4,ב,בוא לבר ג,,
4,ב,בואו נשיר,,
4,ב,יעקב בודו ,הצביעו בעד בודו,
4,ב,יעקב בודו, יידיש קייט,
4,ב,מרדכי בוזגלו ,אל המקורות,
4,ב,מרדכי בוזגלו ,לשיר ולשמוח,
4,ב,עירית בולקה, אדון שלי דיג'י,
4,ב,עירית בולקה ,אנא סלח,
4,ב,עירית בולקה ,בחלום אחר,
4,ב,עירית בולקא ,כמו שני זרים,
4,ב,עירית בולקא ,לילה קר,
4,ב,עירית בולקא ,הלאה,
4,ב,בום פם רויאל,,
4,ב,בוני ירושלים,,
4,ב,א א בוסקוביץ סויטה שמית שרשרת הזהב,,
4,ב,בוסתן ספרדי,,
4,ב,אלון בור ,חלומריבה,
4,ב,בורגראנץ שיר התפריט,,
4,ב,צבי בורודו,,
4,ב,מייק בורשטיין ,שלכם לשעה קלה,
4,ב,מייק בורשטיין ,שר ומספר,
4,ב,מייק בורשטיין חווה אלברשטיין, יידיש פולקסונגס,
4,ב,מייק בורשטיין ,להיטי זהב,
4,ב,מייק בורשטיין ,באנגלית לייב בירושלים,
4,ב,מייק בורשטיין ,סונגס טו גרייט יידיש מיוזיקלס,
